"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"145","com.rl.mongodb","src/main/java/com/rl/mongodb/MongoDAO.java","3","82","Parameter 'collectionName' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"146","com.rl.mongodb","src/main/java/com/rl/mongodb/MongoDAO.java","5","84","Found 'DD'-anomaly for variable 'cursor' (lines '84'-'106').","Controversial Rules","DataflowAnomalyAnalysis"
"147","com.rl.mongodb","src/main/java/com/rl/mongodb/MongoDAO.java","5","85","Found 'DD'-anomaly for variable 'allVisits' (lines '85'-'108').","Controversial Rules","DataflowAnomalyAnalysis"
"148","com.rl.mongodb","src/main/java/com/rl/mongodb/MongoDAO.java","5","86","Found 'DD'-anomaly for variable 'mongoConn' (lines '86'-'93').","Controversial Rules","DataflowAnomalyAnalysis"
"149","com.rl.mongodb","src/main/java/com/rl/mongodb/MongoDAO.java","5","87","Found 'DD'-anomaly for variable 'mongoDB' (lines '87'-'96').","Controversial Rules","DataflowAnomalyAnalysis"
"150","com.rl.mongodb","src/main/java/com/rl/mongodb/MongoDAO.java","3","90","Local variable 'startTime' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"151","com.rl.mongodb","src/main/java/com/rl/mongodb/MongoDAO.java","3","99","Local variable 'collection' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"152","com.rl.mongodb","src/main/java/com/rl/mongodb/MongoDAO.java","3","101","Local variable 'searchById' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"153","com.rl.mongodb","src/main/java/com/rl/mongodb/MongoDAO.java","5","108","Found 'DD'-anomaly for variable 'allVisits' (lines '108'-'112').","Controversial Rules","DataflowAnomalyAnalysis"
"154","com.rl.mongodb","src/main/java/com/rl/mongodb/MongoDAO.java","5","110","Found 'DU'-anomaly for variable 'recordCount' (lines '110'-'126').","Controversial Rules","DataflowAnomalyAnalysis"
"155","com.rl.mongodb","src/main/java/com/rl/mongodb/MongoDAO.java","5","112","Found 'DD'-anomaly for variable 'allVisits' (lines '112'-'112').","Controversial Rules","DataflowAnomalyAnalysis"
"156","com.rl.mongodb","src/main/java/com/rl/mongodb/MongoDAO.java","3","117","Local variable 'endTime' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"157","com.rl.mongodb","src/main/java/com/rl/mongodb/MongoDAO.java","2","119","System.out.print is used","Java Logging Rules","SystemPrintln"
"158","com.rl.mongodb","src/main/java/com/rl/mongodb/MongoDAO.java","3","133","Avoid variables with short names like id","Naming Rules","ShortVariable"
"159","com.rl.mongodb","src/main/java/com/rl/mongodb/MongoDAO.java","5","134","Found 'DD'-anomaly for variable 'mongoConn' (lines '134'-'138').","Controversial Rules","DataflowAnomalyAnalysis"
"160","com.rl.mongodb","src/main/java/com/rl/mongodb/MongoDAO.java","5","135","Found 'DD'-anomaly for variable 'mongoDB' (lines '135'-'141').","Controversial Rules","DataflowAnomalyAnalysis"
"161","com.rl.mongodb","src/main/java/com/rl/mongodb/MongoDAO.java","3","144","Local variable 'collection' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"162","com.rl.mongodb","src/main/java/com/rl/mongodb/MongoDAO.java","2","147","System.out.print is used","Java Logging Rules","SystemPrintln"
"163","com.rl.mongodb","src/main/java/com/rl/mongodb/MongoDAO.java","3","149","Avoid excessively long variable names like modifiedFieldsObject","Naming Rules","LongVariable"
"164","com.rl.mongodb","src/main/java/com/rl/mongodb/MongoDAO.java","3","155","Avoid printStackTrace(); use a logger call instead.","Java Logging Rules","AvoidPrintStackTrace"
"165","com.rl.mongodb","src/main/java/com/rl/mongodb/MongoDAO.java","3","166","Avoid variables with short names like id","Naming Rules","ShortVariable"
"166","com.rl.mongodb","src/main/java/com/rl/mongodb/MongoDAO.java","3","172","Avoid if (x != y) ..; else ..;","Design Rules","ConfusingTernary"
"167","com.rl.mongodb","src/main/java/com/rl/mongodb/MongoDAO.java","3","181","Avoid printStackTrace(); use a logger call instead.","Java Logging Rules","AvoidPrintStackTrace"
"168","com.rl.mongodb","src/main/java/com/rl/mongodb/MongoDAO.java","3","191","Avoid unused local variables such as 'result'.","Unused Code Rules","UnusedLocalVariable"
"169","com.rl.mongodb","src/main/java/com/rl/mongodb/MongoDAO.java","5","191","Found 'DU'-anomaly for variable 'result' (lines '191'-'218').","Controversial Rules","DataflowAnomalyAnalysis"
"170","com.rl.mongodb","src/main/java/com/rl/mongodb/MongoDAO.java","3","192","Avoid excessively long variable names like patientVisitCollection","Naming Rules","LongVariable"
"171","com.rl.mongodb","src/main/java/com/rl/mongodb/MongoDAO.java","5","192","Found 'DD'-anomaly for variable 'patientVisitCollection' (lines '192'-'204').","Controversial Rules","DataflowAnomalyAnalysis"
"172","com.rl.mongodb","src/main/java/com/rl/mongodb/MongoDAO.java","5","193","Found 'DD'-anomaly for variable 'mongoConn' (lines '193'-'198').","Controversial Rules","DataflowAnomalyAnalysis"
"173","com.rl.mongodb","src/main/java/com/rl/mongodb/MongoDAO.java","5","194","Found 'DD'-anomaly for variable 'mongoDB' (lines '194'-'201').","Controversial Rules","DataflowAnomalyAnalysis"
"174","com.rl.mongodb","src/main/java/com/rl/mongodb/MongoDAO.java","3","224","Avoid variables with short names like id","Naming Rules","ShortVariable"
"175","com.rl.mongodb","src/main/java/com/rl/mongodb/MongoDAO.java","5","225","Found 'DD'-anomaly for variable 'mongoConn' (lines '225'-'232').","Controversial Rules","DataflowAnomalyAnalysis"
"176","com.rl.mongodb","src/main/java/com/rl/mongodb/MongoDAO.java","5","226","Found 'DD'-anomaly for variable 'mongoDB' (lines '226'-'235').","Controversial Rules","DataflowAnomalyAnalysis"
"177","com.rl.mongodb","src/main/java/com/rl/mongodb/MongoDAO.java","5","227","Found 'DD'-anomaly for variable 'resultObject' (lines '227'-'251').","Controversial Rules","DataflowAnomalyAnalysis"
"178","com.rl.mongodb","src/main/java/com/rl/mongodb/MongoDAO.java","3","271","Avoid variables with short names like id","Naming Rules","ShortVariable"
"179","com.rl.mongodb","src/main/java/com/rl/mongodb/MongoDAO.java","5","272","Found 'DD'-anomaly for variable 'jsonString' (lines '272'-'278').","Controversial Rules","DataflowAnomalyAnalysis"
"180","com.rl.mongodb","src/main/java/com/rl/mongodb/SampleDAO.java","4","3","Avoid unused imports such as 'java.net.UnknownHostException'","Type Resolution Rules","UnusedImports"
"181","com.rl.mongodb","src/main/java/com/rl/mongodb/SampleDAO.java","4","3","Avoid unused imports such as 'java.net.UnknownHostException'","Type Resolution Rules","UnusedImports"
"182","com.rl.mongodb","src/main/java/com/rl/mongodb/SampleDAO.java","3","17","Avoid variables with short names like db","Naming Rules","ShortVariable"
"183","com.rl.mongodb","src/main/java/com/rl/mongodb/SampleDAO.java","3","17","Local variable 'db' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"184","com.rl.mongodb","src/main/java/com/rl/mongodb/SampleDAO.java","3","20","Local variable 'collection' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"185","com.rl.mongodb","src/main/java/com/rl/mongodb/SampleDAO.java","2","23","System.out.print is used","Java Logging Rules","SystemPrintln"
"186","com.rl.mongodb","src/main/java/com/rl/mongodb/SampleDAO.java","3","24","Local variable 'document' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"187","com.rl.mongodb","src/main/java/com/rl/mongodb/SampleDAO.java","3","28","Local variable 'documentDetail' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"188","com.rl.mongodb","src/main/java/com/rl/mongodb/SampleDAO.java","3","39","Avoid printStackTrace(); use a logger call instead.","Java Logging Rules","AvoidPrintStackTrace"
"189","com.rl.mongodb","src/main/java/com/rl/mongodb/SampleDAO.java","3","43","Parameter 'args' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"190","com.rl.mongodb","src/test/java/com/rl/mongodb/MongoDAOTest.java","3","28","Parameter 'testName' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"191","com.rl.mongodb","src/test/java/com/rl/mongodb/MongoDAOTest.java","3","32","JUnit 4 tests that execute tests should use the @Test annotation","Migration Rules","JUnit4TestShouldUseTestAnnotation"
"192","com.rl.mongodb","src/test/java/com/rl/mongodb/MongoDAOTest.java","3","32","JUnit tests should include assert() or fail()","JUnit Rules","JUnitTestsShouldIncludeAssert"
"193","com.rl.mongodb","src/test/java/com/rl/mongodb/MongoDAOTest.java","3","33","Local variable 'mongoDAO' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"194","com.rl.mongodb","src/test/java/com/rl/mongodb/MongoDAOTest.java","3","33","The String literal 'mongoDAO' appears 5 times in this file; the first occurrence is on line 33","String and StringBuffer Rules","AvoidDuplicateLiterals"
"195","com.rl.mongodb","src/test/java/com/rl/mongodb/MongoDAOTest.java","2","34","System.out.print is used","Java Logging Rules","SystemPrintln"
"196","com.rl.mongodb","src/test/java/com/rl/mongodb/MongoDAOTest.java","3","34","The String literal 'Mongo DAO instance using Spring ' appears 5 times in this file; the first occurrence is on line 34","String and StringBuffer Rules","AvoidDuplicateLiterals"
"197","com.rl.mongodb","src/test/java/com/rl/mongodb/MongoDAOTest.java","3","38","Local variable 'details' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"198","com.rl.mongodb","src/test/java/com/rl/mongodb/MongoDAOTest.java","3","44","JUnit 4 tests that execute tests should use the @Test annotation","Migration Rules","JUnit4TestShouldUseTestAnnotation"
"199","com.rl.mongodb","src/test/java/com/rl/mongodb/MongoDAOTest.java","3","44","JUnit tests should include assert() or fail()","JUnit Rules","JUnitTestsShouldIncludeAssert"
"200","com.rl.mongodb","src/test/java/com/rl/mongodb/MongoDAOTest.java","3","45","Local variable 'mongoDAO' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"201","com.rl.mongodb","src/test/java/com/rl/mongodb/MongoDAOTest.java","2","46","System.out.print is used","Java Logging Rules","SystemPrintln"
"202","com.rl.mongodb","src/test/java/com/rl/mongodb/MongoDAOTest.java","3","48","Local variable 'criteria' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"203","com.rl.mongodb","src/test/java/com/rl/mongodb/MongoDAOTest.java","3","54","Local variable 'allVisits' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"204","com.rl.mongodb","src/test/java/com/rl/mongodb/MongoDAOTest.java","2","57","System.out.print is used","Java Logging Rules","SystemPrintln"
"205","com.rl.mongodb","src/test/java/com/rl/mongodb/MongoDAOTest.java","2","59","System.out.print is used","Java Logging Rules","SystemPrintln"
"206","com.rl.mongodb","src/test/java/com/rl/mongodb/MongoDAOTest.java","3","63","JUnit 4 tests that execute tests should use the @Test annotation","Migration Rules","JUnit4TestShouldUseTestAnnotation"
"207","com.rl.mongodb","src/test/java/com/rl/mongodb/MongoDAOTest.java","3","63","JUnit tests should include assert() or fail()","JUnit Rules","JUnitTestsShouldIncludeAssert"
"208","com.rl.mongodb","src/test/java/com/rl/mongodb/MongoDAOTest.java","2","65","System.out.print is used","Java Logging Rules","SystemPrintln"
"209","com.rl.mongodb","src/test/java/com/rl/mongodb/MongoDAOTest.java","3","77","JUnit 4 tests that execute tests should use the @Test annotation","Migration Rules","JUnit4TestShouldUseTestAnnotation"
"210","com.rl.mongodb","src/test/java/com/rl/mongodb/MongoDAOTest.java","3","77","JUnit tests should include assert() or fail()","JUnit Rules","JUnitTestsShouldIncludeAssert"
"211","com.rl.mongodb","src/test/java/com/rl/mongodb/MongoDAOTest.java","3","90","JUnit 4 tests that execute tests should use the @Test annotation","Migration Rules","JUnit4TestShouldUseTestAnnotation"
"212","com.rl.mongodb","src/test/java/com/rl/mongodb/MongoDAOTest.java","3","90","JUnit tests should include assert() or fail()","JUnit Rules","JUnitTestsShouldIncludeAssert"
"213","com.rl.mongodb","src/test/java/com/rl/mongodb/MongoDAOTest.java","5","108","Found 'DU'-anomaly for variable 'patientVisitDAO' (lines '108'-'115').","Controversial Rules","DataflowAnomalyAnalysis"
"214","com.rl.mongodb","src/test/java/com/rl/mongodb/MongoDAOTest.java","5","109","Found 'DU'-anomaly for variable 'testJSONData' (lines '109'-'115').","Controversial Rules","DataflowAnomalyAnalysis"
"215","com.rl.mongodb","src/test/java/com/rl/mongodb/MongoDAOTest.java","3","112","Avoid instantiating new objects inside loops","Optimization Rules","AvoidInstantiatingObjectsInLoops"
"216","com.rl.mongodb","src/test/java/com/rl/mongodb/MongoDAOTest.java","3","166","Avoid excessively long variable names like patientVisitDetails","Naming Rules","LongVariable"
"217","com.rl.mongodb","src/test/java/com/rl/mongodb/MongoDAOTest.java","3","166","Parameter 'patientVisitDetails' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
